ZIP	City	County	Type
27832	Gaston	Northampton	Standard
27833	Greenville	Pitt	P.O. Box
27834	Greenville	Pitt	Standard
27835	Greenville	Pitt	P.O. Box
27836	Greenville	Pitt	P.O. Box
27837	Grimesland	Pitt	Standard
27839	Halifax	Halifax	Standard
27840	Hamilton	Martin	Standard
27841	Hassell	Martin	P.O. Box
27842	Henrico	Northampton	Standard
27843	Hobgood	Halifax	Standard
27844	Hollister	Halifax	Standard
27845	Jackson	Northampton	Standard
27846	Jamesville	Martin	Standard
27847	Kelford	Bertie	Standard
27849	Lewiston Woodville	Bertie	Standard
27850	Littleton	Halifax	Standard
27851	Lucama	Wilson	Standard
27852	Macclesfield	Edgecombe	Standard
27853	Margarettsville	Northampton	Standard
27855	Murfreesboro	Hertford	Standard
27856	Nashville	Nash	Standard
27857	Oak City	Martin	Standard
27858	Greenville	Pitt	Standard
27860	Pantego	Beaufort	Standard
27861	Parmele	Martin	P.O. Box
27862	Pendleton	Northampton	Standard
27863	Pikeville	Wayne	Standard
27864	Pinetops	Edgecombe	Standard
27865	Pinetown	Beaufort	Standard
27866	Pleasant Hill	Northampton	Standard
27867	Potecasi	Northampton	P.O. Box
27868	Red Oak	Nash	P.O. Box
27869	Rich Square	Northampton	Standard
27870	Roanoke Rapids	Halifax	Standard
27871	Robersonville	Martin	Standard
27872	Roxobel	Bertie	Standard
27873	Saratoga	Wilson	P.O. Box
27874	Scotland Neck	Halifax	Standard
27875	Scranton	Hyde	Standard
27876	Seaboard	Northampton	Standard
27877	Severn	Northampton	P.O. Box
27878	Sharpsburg	Nash	P.O. Box
27879	Simpson	Pitt	P.O. Box
27880	Sims	Wilson	Standard
27881	Speed	Edgecombe	P.O. Box
27882	Spring Hope	Nash	Standard
27883	Stantonsburg	Wilson	Standard
27884	Stokes	Pitt	Standard
27885	Swanquarter	Hyde	Standard
27886	Tarboro	Edgecombe	Standard
27887	Tillery	Halifax	P.O. Box
27888	Walstonburg	Greene	Standard
27889	Washington	Beaufort	Standard
27890	Weldon	Halifax	Standard
27891	Whitakers	Nash	Standard
27892	Williamston	Martin	Standard
27893	Wilson	Wilson	Standard
27894	Wilson	Wilson	P.O. Box
27895	Wilson	Wilson	P.O. Box
27896	Wilson	Wilson	Standard
27897	Woodland	Northampton	Standard
27906	Elizabeth City	Pasquotank	P.O. Box
27907	Elizabeth City	Pasquotank	P.O. Box
27909	Elizabeth City	Pasquotank	Standard
27910	Ahoskie	Hertford	Standard
27915	Avon	Dare	P.O. Box
27916	Aydlett	Currituck	Standard
27917	Barco	Currituck	Standard
27919	Belvidere	Perquimans	Standard
27920	Buxton	Dare	P.O. Box
27921	Camden	Camden	Standard
27922	Cofield	Hertford	Standard
27923	Coinjock	Currituck	Standard
27924	Colerain	Bertie	Standard
27925	Columbia	Tyrrell	Standard
27926	Corapeake	Gates	Standard
27927	Corolla	Currituck	Standard
27928	Creswell	Washington	Standard
27929	Currituck	Currituck	Standard
27930	Hertford	Perquimans	P.O. Box
27932	Edenton	Chowan	Standard
27935	Eure	Gates	Standard
27936	Frisco	Dare	P.O. Box
27937	Gates	Gates	Standard
27938	Gatesville	Gates	Standard
27939	Grandy	Currituck	Standard
27941	Harbinger	Currituck	Standard
27942	Harrellsville	Hertford	Standard
27943	Hatteras	Dare	P.O. Box
27944	Hertford	Perquimans	Standard
27946	Hobbsville	Gates	Standard
27947	Jarvisburg	Currituck	Standard
27948	Kill Devil Hills	Dare	Standard
27949	Kitty Hawk	Dare	Standard
27950	Knotts Island	Currituck	Standard
27953	Manns Harbor	Dare	Standard
27954	Manteo	Dare	Standard
27956	Maple	Currituck	Standard
27957	Merry Hill	Bertie	Standard
27958	Moyock	Currituck	Standard
27959	Nags Head	Dare	Standard
27960	Ocracoke	Hyde	P.O. Box
27962	Plymouth	Washington	Standard
27964	Point Harbor	Currituck	Standard
27965	Poplar Branch	Currituck	Standard
27966	Powells Point	Currituck	Standard
27967	Powellsville	Bertie	P.O. Box
27968	Rodanthe	Dare	P.O. Box
27969	Roduco	Gates	P.O. Box
27970	Roper	Washington	Standard
27972	Salvo	Dare	P.O. Box
27973	Shawboro	Currituck	Standard
27974	Shiloh	Camden	Standard
27976	South Mills	Camden	Standard
27978	Stumpy Point	Dare	Standard
27979	Sunbury	Gates	Standard
